Id,SalePrice
1461,126082.125
1462,153347.94
1463,188462.34
1464,186487.25
1465,202782.62
1466,180359.36
1467,178151.92
1468,167707.34
1469,182750.97
1470,119684.76
1471,202159.45
1472,88478.766
1473,92110.99
1474,152712.58
1475,130973.445
1476,385661.88
1477,264600.88
1478,300063.78
1479,225370.98
1480,511521.25
1481,301314.38
1482,209903.81
1483,166281.0
1484,171882.08
1485,159842.03
1486,202882.78
1487,334685.7
1488,231067.84
1489,209730.64
1490,210021.55
1491,187796.0
1492,92842.43
1493,189200.6
1494,291958.0
1495,280786.12
1496,231383.39
1497,188742.3
1498,159894.75
1499,158315.75
1500,143038.1
1501,176308.12
1502,157268.0
1503,309339.6
1504,229610.11
1505,229157.34
1506,175339.16
1507,251949.42
1508,197478.22
1509,160571.36
1510,146153.45
1511,146900.03
1512,165057.12
1513,147272.42
1514,176782.33
1515,203438.73
1516,164872.66
1517,160226.4
1518,133635.36
1519,237478.81
1520,134420.45
1521,138567.92
1522,159796.17
1523,115724.94
1524,124681.6
1525,131070.86
1526,119611.875
1527,99580.75
1528,138186.06
1529,143268.94
1530,169413.11
1531,113072.95
1532,106237.3
1533,137467.5
1534,119766.914
1535,159054.6
1536,114079.23
1537,74255.3
1538,180074.44
1539,193260.86
1540,108044.63
1541,150315.48
1542,142326.98
1543,220518.56
1544,87469.016
1545,94177.83
1546,125684.234
1547,132019.88
1548,131826.27
1549,113673.62
1550,145524.1
1551,114305.11
1552,155619.86
1553,141851.28
1554,110743.234
1555,175377.58
1556,97096.234
1557,103970.35
1558,91532.875
1559,109444.81
1560,148640.9
1561,137178.33
1562,131036.55
1563,120849.25
1564,161767.4
1565,159674.08
1566,254022.25
1567,74910.9
1568,240694.45
1569,140858.81
1570,141981.48
1571,129176.15
1572,147516.52
1573,258495.92
1574,102104.29
1575,207411.25
1576,217751.67
1577,196226.25
1578,140221.02
1579,146712.42
1580,191421.97
1581,141608.75
1582,127556.234
1583,331872.12
1584,235821.9
1585,141108.72
1586,71870.85
1587,96307.56
1588,144163.98
1589,100072.23
1590,130701.945
1591,102265.02
1592,120228.09
1593,122805.016
1594,202701.17
1595,120608.69
1596,237444.17
1597,190445.17
1598,188778.7
1599,197300.19
1600,195699.33
1601,66610.19
1602,105783.73
1603,87856.29
1604,270569.53
1605,246548.84
1606,170057.56
1607,158480.81
1608,215660.03
1609,192095.58
1610,157690.64
1611,147243.9
1612,163259.44
1613,158190.47
1614,116410.37
1615,91538.48
1616,78884.64
1617,87433.914
1618,128436.67
1619,139313.4
1620,189490.12
1621,147287.94
1622,136496.64
1623,292870.2
1624,220214.61
1625,127548.586
1626,170551.89
1627,191518.7
1628,296302.62
1629,176553.67
1630,353610.5
1631,235945.72
1632,241872.27
1633,158982.64
1634,179822.44
1635,181287.39
1636,157775.78
1637,182956.23
1638,207541.83
1639,184811.62
1640,268006.9
1641,189550.02
1642,223728.47
1643,221329.67
1644,231621.06
1645,184764.92
1646,152185.64
1647,163708.34
1648,127402.48
1649,132323.22
1650,113002.92
1651,117977.586
1652,88125.42
1653,91423.32
1654,149455.94
1655,149708.62
1656,150628.38
1657,152321.27
1658,149157.34
1659,139270.3
1660,155786.22
1661,478110.94
1662,397751.88
1663,379020.44
1664,431923.8
1665,303969.12
1666,320400.8
1667,363181.75
1668,329510.16
1669,298206.78
1670,333135.3
1671,278632.7
1672,537663.9
1673,309020.25
1674,250083.27
1675,191153.02
1676,197625.47
1677,221136.42
1678,482157.66
1679,384260.72
1680,323119.38
1681,248989.75
1682,305456.2
1683,176545.55
1684,167478.92
1685,172130.88
1686,174760.8
1687,156629.42
1688,181765.8
1689,191045.9
1690,184436.27
1691,169195.84
1692,264259.94
1693,160368.53
1694,182173.95
1695,165615.4
1696,287201.38
1697,168121.44
1698,405520.3
1699,328255.8
1700,238762.1
1701,249234.98
1702,266648.2
1703,250715.97
1704,321845.25
1705,231653.77
1706,489284.38
1707,213076.28
1708,203155.16
1709,272913.6
1710,226514.62
1711,250211.55
1712,224727.98
1713,264306.1
1714,222930.02
1715,204395.03
1716,181765.27
1717,175131.11
1718,140377.88
1719,204552.53
1720,254054.16
1721,178012.22
1722,123761.99
1723,151614.12
1724,207064.6
1725,225819.1
1726,188109.0
1727,161745.44
1728,190941.34
1729,157065.12
1730,169201.9
1731,126168.55
1732,133436.2
1733,122346.97
1734,121105.8
1735,135543.84
1736,116622.04
1737,322883.72
1738,222708.3
1739,323398.75
1740,197380.5
1741,183464.19
1742,176411.38
1743,172194.23
1744,314530.8
1745,220859.02
1746,240853.08
1747,223728.84
1748,211218.47
1749,160476.36
1750,138292.25
1751,233403.28
1752,123687.336
1753,136315.7
1754,192578.08
1755,169098.05
1756,122993.27
1757,123656.99
1758,154761.39
1759,181226.16
1760,162417.23
1761,143787.77
1762,176773.38
1763,168351.56
1764,116787.47
1765,178413.55
1766,174490.73
1767,233892.39
1768,138138.14
1769,185319.53
1770,141136.84
1771,139265.97
1772,140331.05
1773,134536.94
1774,129053.38
1775,132656.48
1776,123951.77
1777,108536.945
1778,138097.52
1779,124124.03
1780,181300.42
1781,132512.81
1782,93597.805
1783,135188.9
1784,98032.88
1785,110929.23
1786,150500.36
1787,182695.69
1788,62790.867
1789,91091.95
1790,71652.7
1791,184831.06
1792,153499.03
1793,128196.59
1794,144742.16
1795,136113.77
1796,123415.52
1797,115113.33
1798,124326.93
1799,119293.37
1800,127726.63
1801,136424.6
1802,164823.03
1803,155008.31
1804,139636.61
1805,136172.52
1806,110699.33
1807,134489.47
1808,123123.55
1809,104627.75
1810,145226.47
1811,115877.984
1812,112715.945
1813,120168.94
1814,93315.92
1815,57109.324
1816,91867.72
1817,125464.19
1818,129272.0
1819,119447.56
1820,73849.5
1821,111524.02
1822,175756.98
1823,48412.49
1824,133894.81
1825,128136.305
1826,95589.66
1827,100557.73
1828,140805.89
1829,114309.77
1830,149940.03
1831,182328.56
1832,109392.52
1833,138662.06
1834,107618.29
1835,173141.88
1836,126419.33
1837,89001.38
1838,130193.13
1839,96900.14
1840,137325.12
1841,141790.44
1842,82697.516
1843,134642.97
1844,135054.45
1845,132115.62
1846,154861.81
1847,165295.92
1848,63039.684
1849,122995.43
1850,122345.73
1851,147285.08
1852,129684.46
1853,122611.016
1854,172077.06
1855,154060.03
1856,225620.77
1857,164548.8
1858,159271.73
1859,143099.84
1860,148772.92
1861,141952.97
1862,299349.8
1863,298296.2
1864,298296.2
1865,312536.75
1866,314688.8
1867,250119.1
1868,290413.38
1869,207258.0
1870,259315.95
1871,244134.36
1872,166330.84
1873,250173.64
1874,143333.94
